date,temperature,dew_point_temperature,sunrise,precip_prob,humidity,wind_speed,icon_clear,icon_cloudy,icon_fog,icon_partly-cloudy,icon_rain,icon_sleet,icon_snow
20150102,12.2,-6.1,0,0,0.43,2.11,1,0,0,0,0,0,0
20150102,12.8,-6.1,0,0,0.5,1.88,1,0,0,0,0,0,0
20150102,12.8,-5.6,0,0,0.54,2.21,1,0,0,0,0,0,0
20150102,11.7,-3.9,0,0,0.57,1.65,1,0,0,0,0,0,0
20150102,9.4,-4.4,0,0,0.58,2.12,1,0,0,0,0,0,0
20150102,8.9,-3.9,0,0,0.59,2.14,1,0,0,0,0,0,0
20150102,9.4,-2.8,0,0,0.6,2.03,1,0,0,0,0,0,0
20150102,9.4,-2.8,0,0,0.61,2.23,1,0,0,0,0,0,0
20150102,8.9,-3.3,0,0,0.62,2.04,1,0,0,0,0,0,0
20150102,8.9,-2.8,0,0,0.62,1.45,1,0,0,0,0,0,0
20150102,7.8,-3.3,0,0,0.64,1.07,1,0,0,0,0,0,0
20150102,7.2,-3.3,0,0,0.67,1.33,1,0,0,0,0,0,0
20150102,6.7,-3.3,0,0,0.68,0.8,1,0,0,0,0,0,0
20150102,6.7,-3.3,1,0,0.7,1.16,1,0,0,0,0,0,0
20150102,6.7,-3.9,1,0,0.67,1.87,1,0,0,0,0,0,0
20150102,6.7,-3.9,1,0,0.6,2.56,1,0,0,0,0,0,0
20150102,6.1,-3.3,1,0,0.55,2.89,0,0,0,1,0,0,0
20150102,6.1,-3.3,1,0,0.51,3.25,1,0,0,0,0,0,0
20150102,6.7,-2.8,1,0,0.47,3.16,1,0,0,0,0,0,0
20150102,7.2,-2.8,1,0,0.43,2.84,1,0,0,0,0,0,0
20150102,7.8,-2.2,1,0,0.42,3.11,1,0,0,0,0,0,0
20150102,9.4,-2.2,1,0,0.41,2.99,1,0,0,0,0,0,0
20150102,11.1,-1.7,1,0,0.42,2.9,1,0,0,0,0,0,0
20150102,12.8,-1.1,1,0,0.44,2.66,1,0,0,0,0,0,0
20150102,15,-0.6,0,0,0.51,1.58,1,0,0,0,0,0,0
20150102,15.6,0,0,0,0.56,0.84,1,0,0,0,0,0,0
20150102,16.1,0,0,0,0.58,1.09,1,0,0,0,0,0,0
20150102,15,1.1,0,0,0.59,1.4,0,0,0,1,0,0,0
20150102,15,0.6,0,0,0.6,0.98,0,1,0,0,0,0,0
20150102,13.9,1.1,0,0,0.6,1.25,0,1,0,0,0,0,0
20150102,14.4,1.1,0,0,0.62,0.84,0,1,0,0,0,0,0
20150102,13.9,1.7,0,0,0.64,0.8,0,1,0,0,0,0,0
20150102,13.9,1.7,0,0,0.66,0.65,0,0,0,1,0,0,0
20150102,13.3,2.2,0,0,0.69,0.26,0,0,0,1,0,0,0
20150102,12.8,2.2,0,0,0.73,0.45,1,0,0,0,0,0,0
20150102,12.8,2.2,0,0,0.76,0.2,1,0,0,0,0,0,0
20150102,12.2,2.2,0,0,0.79,0.05,1,0,0,0,0,0,0
20150102,11.7,2.2,1,0,0.8,0,0,0,0,1,0,0,0
20150102,11.7,2.2,1,0,0.8,0.01,0,0,0,1,0,0,0
20150102,10.6,2.2,1,0,0.71,0.06,0,0,0,1,0,0,0
20150102,10.6,2.8,1,0,0.64,0.32,0,0,0,1,0,0,0
20150102,10.6,2.8,1,0,0.59,1.05,0,0,0,1,0,0,0
20150102,11.7,2.8,1,0,0.58,1.55,0,0,0,1,0,0,0
20150102,13.3,3.3,1,0,0.56,1.97,0,0,0,1,0,0,0
20150102,13.9,5,1,0,0.56,2.56,0,0,0,1,0,0,0
20150102,15,5,1,0,0.58,2.99,0,0,0,1,0,0,0
20150102,15,5,1,0,0.59,3.55,0,0,0,1,0,0,0
20150102,14.4,5,1,0,0.6,3.32,0,0,0,1,0,0,0
20150102,15,5,0,0,0.62,2.53,0,0,0,1,0,0,0
20150102,15,5,0,0,0.65,2.76,0,1,0,0,0,0,0
20150102,13.9,4.4,0,0,0.69,2.59,0,1,0,0,0,0,0
20150102,13.3,4.4,0,0.49,0.78,2.51,0,1,0,0,0,0,0
20150102,13.3,3.9,0,0.99,0.87,3.09,0,0,0,0,1,0,0
20150102,12.8,3.3,0,1,0.9,4.89,0,0,0,0,1,0,0
20150102,12.2,3.9,0,1,0.9,5.59,0,0,0,0,1,0,0
20150102,10,5,0,1,0.91,5.66,0,0,0,0,1,0,0
20150102,8.033333333,6.8,0,1,0.92,5.99,0,0,0,0,1,0,0
20150102,6.7,5.6,0,1,0.92,5.73,0,0,0,0,1,0,0
20150102,6.76,5.68,0,1,0.92,5.75,0,0,0,0,1,0,0
20150102,6.3,5,0,1,0.92,5.83,0,0,0,0,1,0,0
